time,open,high,low,close,volume,Dividends,Stock Splits,close_adj,open_adj,high_adj,low_adj,log_return,overnight_return,intraday_return,hl_log_range,mkt_close,mkt_volume,mkt_high,mkt_low,mkt_return
2018-07-03,,,,,,,,,,,,,,,,,,,,
2018-07-04,,,,,,,,,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,,,,,,,,,
2018-07-06,,,,,,,,,,,,,,,,,,,,
2018-07-09,,,,,,,,,,,,,,,,,,,,
2018-07-10,,,,,,,,,,,,,,,,,,,,
2018-07-11,,,,,,,,,,,,,,,,,,,,
2018-07-12,,,,,,,,,,,,,,,,,,,,
2018-07-13,,,,,,,,,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,,,,,,,,,
2018-07-17,,,,,,,,,,,,,,,,,,,,
2018-07-18,,,,,,,,,,,,,,,,,,,,
2018-07-19,,,,,,,,,,,,,,,,,,,,
2018-07-20,,,,,,,,,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,,,,,,,,,
2018-07-24,,,,,,,,,,,,,,,,,,,,
2018-07-25,,,,,,,,,,,,,,,,,,,,
2018-07-26,,,,,,,,,,,,,,,,,,,,
2018-07-27,,,,,,,,,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,,,,,,,,,
2018-07-31,,,,,,,,,,,,,,,,,,,,
2018-08-01,,,,,,,,,,,,,,,,,,,,
2018-08-02,,,,,,,,,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,,,,,,,,,
2018-08-06,20242.688503767607,20341.146866251987,19998.118529548963,20155.43573774414,153228.51960000003,0.0,0.0,20155.43573774414,20242.688503767607,20341.146866251987,19998.118529548963,0.003176429850340374,0.006589224033110579,-0.0034127941827702176,0.018372578017955495,915.5793050000001,146520502.395,918.2109650000001,910.9929700000001,0.0006257898059330899
2018-08-07,20168.916649903345,20308.822911387462,19818.95699763175,20072.601455810545,209499.51129999998,26.599999999999998,0.02507,20072.601455810545,20168.916649903345,20308.822911387462,19818.95699763175,-0.0021551805763187775,0.0025029984233353258,-0.004658178999654108,0.02613770261950935,912.2992649999999,131872749.58000001,917.2860699999999,909.3624850000003,-0.0034220232659499636
2018-08-08,20045.780775187424,20395.59503107314,19877.0818692341,20184.524094970697,208720.5433,0.0,0.0,20184.524094970697,20045.780775187424,20395.59503107314,19877.0818692341,0.007186425164543366,-0.0006146942688868407,0.007801119433430209,0.02338383667994433,921.338445,134126699.62500003,921.338445,913.7485849999998,0.009400906079472592
2018-08-09,20160.026098752376,20595.514909432582,19997.238249051767,20440.214636669916,260920.12299999993,0.0,0.0,20440.214636669916,20160.026098752376,20595.514909432582,19997.238249051767,0.00170326272082808,-0.002184108418436993,0.0038873711392650714,0.023781770523054135,918.6972500000002,148991421.365,927.29782,918.6972500000002,-0.002737317725907182
